epoch;auc_4;categorical_accuracy;false_negatives_4;false_positives_4;loss;precision_4;recall_4;true_negatives_4;true_positives_4;val_auc_4;val_categorical_accuracy;val_false_negatives_4;val_false_positives_4;val_loss;val_precision_4;val_recall_4;val_true_negatives_4;val_true_positives_4
0;0.885952;0.8112571;4252.0;4252.0;0.4274453792551702;0.8112571;0.8112571;18276.0;18276.0;0.8591805;0.76842946;578.0;578.0;0.527704309958678;0.76842946;0.76842946;1918.0;1918.0
1;0.9212461;0.84925425;3396.0;3396.0;0.35749790919097985;0.84925425;0.84925425;19132.0;19132.0;0.9292818;0.86738783;331.0;331.0;0.3438981335896712;0.86738783;0.86738783;2165.0;2165.0
2;0.93416554;0.86541194;3032.0;3032.0;0.3277208635752851;0.86541194;0.86541194;19496.0;19496.0;0.91794914;0.8485577;378.0;378.0;0.3733344429578537;0.8485577;0.8485577;2118.0;2118.0
3;0.94585043;0.87810725;2746.0;2746.0;0.297350037694824;0.87810725;0.87810725;19782.0;19782.0;0.9301971;0.86177886;345.0;345.0;0.3510620116423338;0.86177886;0.86177886;2151.0;2151.0
4;0.95566255;0.89071375;2462.0;2462.0;0.26892341135747055;0.89071375;0.89071375;20066.0;20066.0;0.9381291;0.87259614;318.0;318.0;0.33392234146595;0.87259614;0.87259614;2178.0;2178.0
5;0.9644822;0.9030096;2185.0;2185.0;0.2409432694548741;0.9030096;0.9030096;20343.0;20343.0;0.94804776;0.8866186;283.0;283.0;0.2969918965529173;0.8866186;0.8866186;2213.0;2213.0
6;0.9716296;0.9143288;1930.0;1930.0;0.21508868580514734;0.9143288;0.9143288;20598.0;20598.0;0.93692577;0.8729968;317.0;317.0;0.3776644315475073;0.8729968;0.8729968;2179.0;2179.0
7;0.98090976;0.9318626;1535.0;1535.0;0.1763298893770711;0.9318626;0.9318626;20993.0;20993.0;0.94021004;0.88301283;292.0;292.0;0.3384562543569467;0.88301283;0.88301283;2204.0;2204.0
8;0.9860621;0.9428267;1288.0;1288.0;0.15007868431381544;0.9428267;0.9428267;21240.0;21240.0;0.94325566;0.89102566;272.0;272.0;0.3335341192208804;0.89102566;0.89102566;2224.0;2224.0
9;0.9914506;0.9568537;972.0;972.0;0.11713552607265725;0.9568537;0.9568537;21556.0;21556.0;0.93853235;0.8802083;299.0;299.0;0.3861360351244609;0.8802083;0.8802083;2197.0;2197.0
