epoch;auc_1;categorical_accuracy;false_negatives_1;false_positives_1;loss;precision_1;recall_1;true_negatives_1;true_positives_1;val_auc_1;val_categorical_accuracy;val_false_negatives_1;val_false_positives_1;val_loss;val_precision_1;val_recall_1;val_true_negatives_1;val_true_positives_1
0;0.93697315;0.8791282;2723.0;2723.0;0.4187280943786556;0.8791282;0.8791282;19805.0;19805.0;0.93914914;0.8701923;324.0;324.0;0.32094832414235824;0.8701923;0.8701923;2172.0;2172.0
1;0.9780671;0.9261808;1663.0;1663.0;0.18832351068373432;0.9261808;0.9261808;20865.0;20865.0;0.9335121;0.86778843;330.0;330.0;0.3558175510320908;0.86778843;0.86778843;2166.0;2166.0
2;0.9863086;0.9410511;1328.0;1328.0;0.14868726292942566;0.9410511;0.9410511;21200.0;21200.0;0.94070476;0.8729968;317.0;317.0;0.35225021571685106;0.8729968;0.8729968;2179.0;2179.0
3;0.9944802;0.9646662;796.0;796.0;0.09493132487510923;0.9646662;0.9646662;21732.0;21732.0;0.928778;0.864984;337.0;337.0;0.4751669814189275;0.864984;0.864984;2159.0;2159.0
4;0.996042;0.9701261;673.0;673.0;0.07782229332422669;0.9701261;0.9701261;21855.0;21855.0;0.9217603;0.85336536;366.0;366.0;0.5523676868432608;0.85336536;0.85336536;2130.0;2130.0
5;0.9967112;0.97234553;623.0;623.0;0.07077583910722751;0.97234553;0.97234553;21905.0;21905.0;0.91618747;0.8457532;385.0;385.0;0.578648912983063;0.8457532;0.8457532;2111.0;2111.0
6;0.998629;0.98459697;347.0;347.0;0.04388774142849301;0.98459697;0.98459697;22181.0;22181.0;0.9387607;0.8866186;283.0;283.0;0.5210310220718384;0.8866186;0.8866186;2213.0;2213.0
7;0.999064;0.98672765;299.0;299.0;0.03524927219603507;0.98672765;0.98672765;22229.0;22229.0;0.9000321;0.84134614;396.0;396.0;0.7990240722130506;0.84134614;0.84134614;2100.0;2100.0
8;0.9995417;0.9906339;211.0;211.0;0.02657754122066597;0.9906339;0.9906339;22317.0;22317.0;0.93757814;0.88301283;292.0;292.0;0.5830633640289307;0.88301283;0.88301283;2204.0;2204.0
9;0.999726;0.99311966;155.0;155.0;0.01962410671016683;0.99311966;0.99311966;22373.0;22373.0;0.9387857;0.8926282;268.0;268.0;0.6088306676500883;0.8926282;0.8926282;2228.0;2228.0
